Food,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
kale,2004,7,6,6,6,7,7,6,7,7,7,8,7
kale,2005,10,7,8,8,7,8,7,7,7,8,9,7
kale,2006,9,8,8,8,8,7,8,7,8,9,9,7
kale,2007,8,8,8,8,7,9,9,9,9,10,10,8
kale,2008,10,10,10,10,9,11,11,12,11,13,12,11
kale,2009,13,13,14,12,12,15,14,12,14,16,17,13
kale,2010,18,17,18,17,17,20,18,16,19,21,21,18
kale,2011,30,29,30,28,27,30,33,30,32,38,38,36
kale,2012,53,49,53,50,46,54,52,50,53,53,50,46
kale,2013,78,72,75,74,71,76,79,74,73,75,75,59
kale,2014,100,83,85,77,72,75,74,65,61,63,63,53
kale,2015,86,68,68,61,60,67,66,59,53,56,60,48
kale,2016,76,62,59,58,56,55,52,47,47,48,45,42
kale,2017,62,54,54,52,51,52,56,49,45,49,50,43
kale,2018,60,52,50,50,46,49,50,44,44,43,44,42
kale,2019,58,48,48,45,42,45,44,40,40,42,43,39
juiceCleanse,2004,2,4,6,4,1,4,4,1,2,2,3,3
juiceCleanse,2005,3,2,4,2,3,7,3,2,3,2,5,3
juiceCleanse,2006,3,4,4,3,4,3,4,3,3,3,2,3
juiceCleanse,2007,6,6,4,4,4,4,4,4,7,3,3,4
juiceCleanse,2008,5,4,6,6,6,5,7,6,5,7,7,6
juiceCleanse,2009,10,9,8,8,7,6,11,10,7,6,5,5
juiceCleanse,2010,10,8,8,8,13,10,13,14,9,10,10,10
juiceCleanse,2011,16,13,14,14,17,15,21,19,15,16,17,18
juiceCleanse,2012,37,30,39,39,36,35,37,40,31,28,30,35
juiceCleanse,2013,69,58,73,74,79,79,72,72,61,54,51,60
juiceCleanse,2014,100,73,84,85,79,73,70,64,53,45,41,48
juiceCleanse,2015,68,54,58,60,59,64,62,53,42,39,39,41
juiceCleanse,2016,65,49,49,54,52,46,43,41,34,33,32,33
juiceCleanse,2017,49,45,53,51,46,47,46,40,34,31,31,32
juiceCleanse,2018,54,45,47,58,51,52,50,43,35,37,34,36
juiceCleanse,2019,57,51,62,60,51,49,46,42,36,33,28,34