State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,2,4,6,4,1,4,4,1,2,2,3,3
2005,3,2,4,2,3,7,3,2,3,2,5,3
2006,3,4,4,3,4,3,4,3,3,3,2,3
2007,6,6,4,4,4,4,4,4,7,3,3,4
2008,5,4,6,6,6,5,7,6,5,7,7,6
2009,10,9,8,8,7,6,11,10,7,6,5,5
2010,10,8,8,8,13,10,13,14,9,10,10,10
2011,16,13,14,14,17,15,21,19,15,16,17,18
2012,37,30,39,39,36,35,37,40,31,28,30,35
2013,69,58,73,74,79,79,72,72,61,54,51,60
2014,100,73,84,85,79,73,70,64,53,45,41,48
2015,68,54,58,60,59,64,62,53,42,39,39,41
2016,65,49,49,54,52,46,43,41,34,33,32,33
2017,49,45,53,51,46,47,46,40,34,31,31,32
2018,54,45,47,58,51,52,50,43,35,37,34,36
2019,57,51,62,60,51,49,46,42,36,33,28,34