Month,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jan,7,10,9,8,10,13,18,30,53,78,100,86,76,62,60,58
Feb,6,7,8,8,10,13,17,29,49,72,83,68,62,54,52,48
Mar,6,8,8,8,10,14,18,30,53,75,85,68,59,54,50,48
Apr,6,8,8,8,10,12,17,28,50,74,77,61,58,52,50,45
May,7,7,8,7,9,12,17,27,46,71,72,60,56,51,46,42
Jun,7,8,7,9,11,15,20,30,54,76,75,67,55,52,49,45
Jul,6,7,8,9,11,14,18,33,52,79,74,66,52,56,50,44
Aug,7,7,7,9,12,12,16,30,50,74,65,59,47,49,44,40
Sep,7,7,8,9,11,14,19,32,53,73,61,53,47,45,44,40
Oct,7,8,9,10,13,16,21,38,53,75,63,56,48,49,43,42
Nov,8,9,9,10,12,17,21,38,50,75,63,60,45,50,44,43
Dec,7,7,7,8,11,13,18,36,46,59,53,48,42,43,42,39